################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1729152153798653E-01 a         1     0     1     1     1
 -2.7534413263729124E-01 a         2     0     1     1     2
 -2.2191641727783312E-03 a         3     0     1     1     3
  1.9423674460389295E-01 a         4     0     1     1     4
 -1.4320117403506882E-01 a         5     0     1     1     5
  1.7567796265309207E-01 a         6     0     1     1     6
  2.9825705130923419E-01 a         7     0     1     1     7
  1.6104511237760835E-01 a         8     0     1     1     8
 -4.7972051942308698E-02 a         9     0     1     1     9
 -3.0164221071107493E-02 a        10     0     1     1    10
 -1.9776946169461360E-01 a        11     0     1     1    11
 -2.6461981569996124E-01 a        12     0     1     1    12
 -8.9782268929852055E-02 a        13     0     1     1    13
 -1.0665690240005361E-01 a        14     0     1     1    14
  3.1527608319226175E-01 a        15     0     1     1    15
 -1.1196999342296576E-01 a        16     0     1     1    16
  4.6117184676048045E-01 a        17     0     1     1    17
  5.6591845475059806E-02 a        18     0     1     1    18
 -2.1539955540811209E-01 a        19     0     1     1    19
 -2.2003396583623144E-01 a        20     0     1     1    20
 -1.2143058337937652E-01 a        21     0     2     1     1
 -4.7020768020045872E-01 a        22     0     2     1     2
 -1.2064519185843659E-02 a        23     0     2     1     3
  1.4016083851208697E-01 a        24     0     2     1     4
  2.2344681275592754E-01 a        25     0     2     1     5
  6.2200161529835304E-02 a        26     0     2     1     6
 -3.4737603538013959E-02 a        27     0     2     1     7
  6.0211643981894221E-02 a        28     0     2     1     8
  2.2061842146166119E-01 a        29     0     2     1     9
 -3.1150411008017126E-01 a        30     0     2     1    10
  1.0977081009623707E-01 a        31     0     2     1    11
 -2.8124979956455359E-01 a        32     0     2     1    12
 -4.1066096683050296E-01 a        33     0     2     1    13
 -4.0829056095617955E-01 a        34     0     2     1    14
  5.2544381330390078E-01 a        35     0     2     1    15
  2.7035293681924438E-01 a        36     0     2     1    16
 -3.8279882665117997E-02 a        37     0     2     1    17
  4.2690154299195865E-01 a        38     0     2     1    18
  9.6439007302860966E-02 a        39     0     2     1    19
 -1.0911053649261142E-01 a        40     0     2     1    20
  3.0518130181298997E-01 a        41     0     3     1     1
 -1.6277541981484389E-01 a        42     0     3     1     2
  6.9804590860740451E-02 a        43     0     3     1     3
  1.4568313941441435E-01 a        44     0     3     1     4
 -1.4061584695441354E-01 a        45     0     3     1     5
  2.0046753747034238E-01 a        46     0     3     1     6
 -2.4951951357075910E-01 a        47     0     3     1     7
  1.1521308042027319E-01 a        48     0     3     1     8
  3.8792279471491481E-01 a        49     0     3     1     9
 -4.2743904974147490E-01 a        50     0     3     1    10
  4.9247642687007112E-02 a        51     0     3     1    11
  2.3515521169797621E-01 a        52     0     3     1    12
 -4.1968280359219545E-01 a        53     0     3     1    13
 -1.0874353199099843E-01 a        54     0     3     1    14
  2.8442822683194341E-01 a        55     0     3     1    15
  3.1469120363691944E-01 a        56     0     3     1    16
 -5.8320142826795496E-01 a        57     0     3     1    17
 -3.8418521219914653E-01 a        58     0     3     1    18
  1.4768530570090696E-01 a        59     0     3     1    19
 -2.2790087525993447E-01 a        60     0     3     1    20
  1.7412302164625881E-01 a        61     0     4     1     1
  4.2392529989780758E-01 a        62     0     4     1     2
 -1.1443482432773822E-01 a        63     0     4     1     3
 -8.8897502955458632E-02 a        64     0     4     1     4
 -2.1667223836548474E-01 a        65     0     4     1     5
 -3.1409573143032221E-02 a        66     0     4     1     6
  1.2846634968064544E-01 a        67     0     4     1     7
 -1.5807428343207014E-01 a        68     0     4     1     8
 -3.9514745747468627E-01 a        69     0     4     1     9
 -1.5128723670206190E-01 a        70     0     4     1    10
 -3.3773973027363602E-01 a        71     0     4     1    11
 -2.1905406975126555E-02 a        72     0     4     1    12
  3.2836461562999297E-01 a        73     0     4     1    13
  9.8165009998916641E-02 a        74     0     4     1    14
 -2.0834840866488624E-02 a        75     0     4     1    15
  2.3557871263609795E-02 a        76     0     4     1    16
  3.5382843239936840E-01 a        77     0     4     1    17
 -7.8028620096178147E-01 a        78     0     4     1    18
  5.3505105823275771E-02 a        79     0     4     1    19
 -1.0919278029207512E-01 a        80     0     4     1    20
 -1.5703391947831852E-01 a        81     0     5     1     1
 -7.7350030083652321E-02 a        82     0     5     1     2
 -2.8581613732833960E-01 a        83     0     5     1     3
  2.9023060723423455E-01 a        84     0     5     1     4
 -1.7185218649690820E-01 a        85     0     5     1     5
 -2.7787834093546043E-01 a        86     0     5     1     6
 -1.3367879431839474E-01 a        87     0     5     1     7
 -1.4612931351700800E-03 a        88     0     5     1     8
 -4.8888917643305663E-01 a        89     0     5     1     9
 -1.2140780620027875E-02 a        90     0     5     1    10
 -2.7995259563065564E-02 a        91     0     5     1    11
