################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3584258767363628E-01 a         1     0     1     1     1
  3.8351822062634011E-01 a         2     0     1     1     2
  2.4980737860702379E-01 a         3     0     1     1     3
 -1.4865699350701017E-01 a         4     0     1     1     4
 -2.0424740687918869E-01 a         5     0     1     1     5
 -3.2400229093786703E-02 a         6     0     1     1     6
 -1.7878466157431691E-01 a         7     0     1     1     7
 -9.0312527247315408E-02 a         8     0     1     1     8
  4.5512106923838114E-01 a         9     0     1     1     9
 -3.1742386336982270E-01 a        10     0     1     1    10
 -5.0573245150313229E-01 a        11     0     1     1    11
 -3.7902052107149181E-01 a        12     0     1     1    12
 -2.2441058243906850E-01 a        13     0     1     1    13
  1.2966337203972814E-01 a        14     0     1     1    14
  5.4653421267642235E-02 a        15     0     1     1    15
  8.3882913316061403E-02 a        16     0     1     1    16
  8.6960322737040296E-02 a        17     0     1     1    17
 -6.9021100393467247E-02 a        18     0     1     1    18
  1.5890998194522787E-01 a        19     0     1     1    19
  2.0402344293387220E-01 a        20     0     1     1    20
  3.6685636400459493E-01 a        21     0     2     1     1
 -9.5503522385095824E-02 a        22     0     2     1     2
 -5.5265742853662606E-02 a        23     0     2     1     3
  1.4269785708446028E-01 a        24     0     2     1     4
 -2.9511675047475305E-01 a        25     0     2     1     5
  7.4505467400742417E-02 a        26     0     2     1     6
 -2.3794845587544353E-01 a        27     0     2     1     7
 -1.6744610842441576E-01 a        28     0     2     1     8
  2.2216582772718826E-01 a        29     0     2     1     9
  2.4660977415734406E-02 a        30     0     2     1    10
 -3.0593839583271343E-01 a        31     0     2     1    11
 -3.2703563484198989E-01 a        32     0     2     1    12
  2.9712268634245387E-01 a        33     0     2     1    13
 -1.5384343300519754E-01 a        34     0     2     1    14
 -2.7994098585534612E-02 a        35     0     2     1    15
 -3.2268895786244461E-01 a        36     0     2     1    16
 -4.6631131911793544E-01 a        37     0     2     1    17
 -5.1010820905096410E-01 a        38     0     2     1    18
  1.1888278543334835E-01 a        39     0     2     1    19
 -2.2296937855990964E-01 a        40     0     2     1    20
 -2.6819056776431610E-01 a        41     0     3     1     1
  1.1102329076413950E-01 a        42     0     3     1     2
  2.1803047884043519E-01 a        43     0     3     1     3
  6.6670621626901821E-02 a        44     0     3     1     4
 -2.7470982912358742E-02 a        45     0     3     1     5
 -3.9188223732164468E-01 a        46     0     3     1     6
  2.3515747296165213E-01 a        47     0     3     1     7
  1.7634886721803122E-01 a        48     0     3     1     8
 -1.7410000406646350E-01 a        49     0     3     1     9
  1.6148555981119850E-01 a        50     0     3     1    10
  1.0249560889262581E-01 a        51     0     3     1    11
  1.7383934038505522E-01 a        52     0     3     1    12
 -6.7654972135307009E-02 a        53     0     3     1    13
  2.9425539480402472E-02 a        54     0     3     1    14
  3.3015509831546125E-01 a        55     0     3     1    15
  3.6289419349670843E-01 a        56     0     3     1    16
  2.9644361474066422E-01 a        57     0     3     1    17
 -2.2354983720018626E-01 a        58     0     3     1    18
 -3.4735556212532542E-01 a        59     0     3     1    19
 -4.0279942226439125E-01 a        60     0     3     1    20
  3.9398728207830408E-01 a        61     0     4     1     1
  2.6702907878249765E-01 a        62     0     4     1     2
 -3.6222598811144585E-01 a        63     0     4     1     3
  1.7087715266618764E-01 a        64     0     4     1     4
 -2.0320707671774310E-01 a        65     0     4     1     5
  1.1447463131654470E-01 a        66     0     4     1     6
 -1.0493970558181105E-01 a        67     0     4     1     7
 -2.1063427333287078E-02 a        68     0     4     1     8
 -8.2686275942349188E-02 a        69     0     4     1     9
  6.6771910373816967E-02 a        70     0     4     1    10
 -6.4430072789679271E-02 a        71     0     4     1    11
  1.2340977916297344E-01 a        72     0     4     1    12
 -1.7825465145517541E-01 a        73     0     4     1    13
  3.9844573176720133E-01 a        74     0     4     1    14
  1.2706450297864005E-01 a        75     0     4     1    15
 -1.6030093272597554E-02 a        76     0     4     1    16
 -5.0890594307248394E-01 a        77     0     4     1    17
  2.8770952718576848E-01 a        78     0     4     1    18
 -3.2129997692396176E-02 a        79     0     4     1    19
  1.5042317594493282E-01 a        80     0     4     1    20
 -4.0048527917895277E-01 a        81     0     5     1     1
 -4.0466832263275282E-01 a        82     0     5     1     2
  9.1955932628077691E-02 a        83     0     5     1     3
 -3.8225018914839648E-01 a        84     0     5     1     4
 -1.7612196296475097E-01 a        85     0     5     1     5
 -2.4952708348958549E-01 a        86     0     5     1     6
 -2.0256830842638798E-01 a        87     0     5     1     7
  8.4680687673650931E-02 a        88     0     5     1     8
  9.4483737295284670E-02 a        89     0     5     1     9
 -3.8702898189703391E-02 a        90     0     5     1    10
  3.1813554459017185E-01 a        91     0     5     1    11
 -5.9072376629858016E-02 a        92     0     5     1    12
 -4.2072116984295399E-01 a        93     0     5     1    13
  5.6642531791719235E-02 a        94     0     5     1    14
  2.2549079452168883E-01 a        95     0     5     1    15
 -2.4553460939569213E-01 a        96     0     5     1    16
  4.6030558714247544E-01 a        97     0     5     1    17
 -1.1716613076700862E-01 a        98     0     5     1    18
 -3.2128756672065689E-01 a        99     0     5     1    19
 -2.3678242955794022E-02 a       100     0     5     1    20
 -2.2034956293488070E-01 a       101     0     6     1     1
  1.3574122475301355E-02 a       102     0     6     1     2
 -4.2075048827130118E-01 a       103     0     6     1     3
 -9.3859921035593152E-02 a       104     0     6     1     4
  2.5496421821797949E-01 a       105     0     6     1     5
  3.9217293856601904E-01 a       106     0     6     1     6
  2.5540293821323462E-01 a       107     0     6     1     7
 -3.0421278738351465E-01 a       108     0     6     1     8
  3.1795502990630586E-01 a       109     0     6     1     9
 -2.3099880880558959E-02 a       110     0     6     1    10
 -1.0029319586452949E-01 a       111     0     6     1    11
  9.9674169326745748E-02 a       112     0     6     1    12
 -2.2946263302373196E-01 a       113     0     6     1    13
  1.8791807652732145E-01 a       114     0     6     1    14
  1.8960996789693260E-01 a       115     0     6     1    15
 -6.5740957434529623E-02 a       116     0     6     1    16
 -1.6058277904934010E-01 a       117     0     6     1    17
  4.3153796049800561E-02 a       118     0     6     1    18
 -2.6423361047255089E-01 a       119     0     6     1    19
  1.6735214570856313E-01 a       120     0     6     1    20
 -2.9917442471958117E-01 a       121     0     7     1     1
  1.1962856437830525E-01 a       122     0     7     1     2
 -2.9091770168728329E-02 a       123     0     7     1     3
  9.3239780400355604E-02 a       124     0     7     1     4
  3.7560100469761937E-02 a       125     0     7     1     5
  1.4246776845861051E-02 a       126     0     7     1     6
 -1.1849437960916771E-01 a       127     0     7     1     7
  3.9815247092490173E-02 a       128     0     7     1     8
  2.4884506915294596E-01 a       129     0     7     1     9
  2.3846845693508908E-01 a       130     0     7     1    10
 -7.5507523225256279E-02 a       131     0     7     1    11
 -2.9710844723206575E-01 a       132     0     7     1    12
 -5.8529764890179005E-02 a       133     0     7     1    13
 -4.2792488776269302E-02 a       134     0     7     1    14
 -2.4335764453308081E-01 a       135     0     7     1    15
  1.9218430436926009E-01 a       136     0     7     1    16
  2.0740936258233389E-01 a       137     0     7     1    17
  3.0315233580777076E-03 a       138     0     7     1    18
 -2.0251483633382303E-01 a       139     0     7     1    19
