################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7291551012358296E-02 a         1     0     1     1     1
 -2.1553338404404782E-01 a         2     0     1     1     2
 -6.4322722639917077E-02 a         3     0     1     1     3
  3.3499223866771247E-02 a         4     0     1     1     4
 -3.2096007605362564E-01 a         5     0     1     1     5
 -3.1509109072850272E-01 a         6     0     1     1     6
  4.2217650824394756E-02 a         7     0     1     1     7
 -1.6977201590573093E-01 a         8     0     1     1     8
  2.7199162888165468E-01 a         9     0     1     1     9
 -2.5658242307800250E-01 a        10     0     1     1    10
 -9.5463158350571412E-02 a        11     0     1     1    11
  2.6958686266412524E-01 a        12     0     1     1    12
  1.2839346081041003E-01 a        13     0     1     1    13
  1.4769716306390676E-01 a        14     0     1     1    14
 -3.8266355285850717E-01 a        15     0     1     1    15
 -1.8935450218833383E-01 a        16     0     1     1    16
 -1.8612846071690040E-01 a        17     0     1     1    17
  1.7650764202246952E-01 a        18     0     1     1    18
 -1.4991983853347104E-01 a        19     0     1     1    19
 -8.4759858279659081E-02 a        20     0     1     1    20
  4.7531410601215490E-02 a        21     0     2     1     1
  3.7766844061736921E-01 a        22     0     2     1     2
 -4.5800943708184172E-01 a        23     0     2     1     3
  6.8514519672046553E-02 a        24     0     2     1     4
 -2.7882367464521929E-01 a        25     0     2     1     5
  3.0695578119149641E-01 a        26     0     2     1     6
 -1.3116897819590509E-01 a        27     0     2     1     7
  2.0774941452585938E-01 a        28     0     2     1     8
 -2.5636094697819983E-01 a        29     0     2     1     9
 -8.3930932408932228E-03 a        30     0     2     1    10
 -2.7458546152939878E-01 a        31     0     2     1    11
  3.5963526768017479E-01 a        32     0     2     1    12
 -2.2231069643838630E-01 a        33     0     2     1    13
  2.5839485624030734E-01 a        34     0     2     1    14
  7.9193979432763892E-02 a        35     0     2     1    15
  3.8812736713643964E-02 a        36     0     2     1    16
  6.2753680230407005E-02 a        37     0     2     1    17
 -2.0651789751145813E-01 a        38     0     2     1    18
  4.7444218343238048E-01 a        39     0     2     1    19
  1.4806404416940971E-01 a        40     0     2     1    20
 -4.1269511982337759E-01 a        41     0     3     1     1
 -2.4540663581031139E-01 a        42     0     3     1     2
  2.0317587428462658E-01 a        43     0     3     1     3
  2.2678939016282815E-01 a        44     0     3     1     4
 -1.6927564706688002E-02 a        45     0     3     1     5
 -8.0916855869578933E-02 a        46     0     3     1     6
  2.0611908093484987E-01 a        47     0     3     1     7
  1.0576184788992761E-02 a        48     0     3     1     8
 -2.3339328131752893E-01 a        49     0     3     1     9
 -2.7632016165407952E-01 a        50     0     3     1    10
 -3.1058630274621839E-02 a        51     0     3     1    11
 -1.2119834487382747E-01 a        52     0     3     1    12
  8.2731999715475651E-02 a        53     0     3     1    13
 -1.5827631734425585E-01 a        54     0     3     1    14
  2.8053823234069619E-01 a        55     0     3     1    15
 -2.7183036600726542E-02 a        56     0     3     1    16
  3.0461451616842015E-02 a        57     0     3     1    17
  3.3830218230240999E-01 a        58     0     3     1    18
  1.5863772298625003E-01 a        59     0     3     1    19
 -1.0460616279988445E-01 a        60     0     3     1    20
  4.9353506280357208E-02 a        61     0     4     1     1
 -1.2882616714171391E-01 a        62     0     4     1     2
 -1.5409746082734382E-01 a        63     0     4     1     3
 -1.1290671316295994E-01 a        64     0     4     1     4
 -4.2447334055009844E-01 a        65     0     4     1     5
 -4.2744425846723477E-01 a        66     0     4     1     6
  4.5384548496250282E-01 a        67     0     4     1     7
 -2.0285867436107199E-01 a        68     0     4     1     8
 -3.6060224236397664E-01 a        69     0     4     1     9
  3.5349370568927591E-01 a        70     0     4     1    10
 -4.5898038340668679E-01 a        71     0     4     1    11
 -1.3112292829329292E-01 a        72     0     4     1    12
  2.2659435574232178E-01 a        73     0     4     1    13
 -2.7594230044540291E-01 a        74     0     4     1    14
  4.0488861065093973E-01 a        75     0     4     1    15
  2.1668278996147641E-01 a        76     0     4     1    16
  1.1792920445533971E-02 a        77     0     4     1    17
  1.4269302080248183E-01 a        78     0     4     1    18
 -6.0368312436443738E-01 a        79     0     4     1    19
 -7.5756828958351910E-02 a        80     0     4     1    20
  1.0460621400003949E-01 a        81     0     5     1     1
 -1.4263124012947090E-02 a        82     0     5     1     2
  1.7157513845773203E-01 a        83     0     5     1     3
 -3.1932942881856469E-02 a        84     0     5     1     4
  7.9542854764467374E-02 a        85     0     5     1     5
  2.9004745934213610E-01 a        86     0     5     1     6
 -3.3548846656038761E-01 a        87     0     5     1     7
 -1.7879299064165805E-01 a        88     0     5     1     8
  1.5717337892795860E-01 a        89     0     5     1     9
 -2.9873815481403387E-01 a        90     0     5     1    10
  3.8217306179271993E-01 a        91     0     5     1    11
  1.9787234147163515E-01 a        92     0     5     1    12
  3.8114801159508500E-02 a        93     0     5     1    13
  1.3443299749180165E-01 a        94     0     5     1    14
 -6.6106427080393104E-02 a        95     0     5     1    15
  1.5105834146396188E-01 a        96     0     5     1    16
 -2.3730712832586423E-01 a        97     0     5     1    17
 -2.0621123367920011E-01 a        98     0     5     1    18
 -9.6868059394657466E-02 a        99     0     5     1    19
  8.9892165909690167E-02 a       100     0     5     1    20
 -2.0671005586607646E-01 a       101     0     6     1     1
  1.2373777731487005E-01 a       102     0     6     1     2
  2.3582093392433848E-01 a       103     0     6     1     3
 -2.1558366151013683E-01 a       104     0     6     1     4
 -2.1232138294542643E-01 a       105     0     6     1     5
 -1.2558880632053249E-01 a       106     0     6     1     6
 -1.2957631684912430E-01 a       107     0     6     1     7
  2.4185512272251275E-01 a       108     0     6     1     8
 -9.9560443257234496E-02 a       109     0     6     1     9
 -2.4148903830646282E-01 a       110     0     6     1    10
 -1.4129249339736619E-01 a       111     0     6     1    11
  2.4455361478317835E-02 a       112     0     6     1    12
 -8.1176219461699478E-02 a       113     0     6     1    13
  2.5306334275017983E-01 a       114     0     6     1    14
 -2.6509733027268417E-01 a       115     0     6     1    15
 -7.1598138560384411E-02 a       116     0     6     1    16
 -1.2202475928444061E-01 a       117     0     6     1    17
  4.5203840141932322E-01 a       118     0     6     1    18
 -1.7785135012947123E-01 a       119     0     6     1    19
 -8.6990519966833504E-02 a       120     0     6     1    20
 -8.2196589296110276E-02 a       121     0     7     1     1
 -1.1836597864818386E-01 a       122     0     7     1     2
 -1.5020389677848414E-01 a       123     0     7     1     3
 -5.4854518294524229E-02 a       124     0     7     1     4
 -3.6486297347832368E-02 a       125     0     7     1     5
 -2.0466614304487332E-01 a       126     0     7     1     6
  1.5250659677929856E-01 a       127     0     7     1     7
  7.7542263529134778E-02 a       128     0     7     1     8
  2.4602321540266273E-01 a       129     0     7     1     9
 -3.0215599894517703E-01 a       130     0     7     1    10
  5.5122343626240855E-02 a       131     0     7     1    11
  6.5206367138579038E-02 a       132     0     7     1    12
 -8.0949490189019799E-02 a       133     0     7     1    13
 -2.0843880515442302E-02 a       134     0     7     1    14
  1.3475529212780149E-01 a       135     0     7     1    15
 -5.1865193559419202E-02 a       136     0     7     1    16
  3.9036394506418537E-01 a       137     0     7     1    17
 -5.4671278427904139E-02 a       138     0     7     1    18
  2.1168227740710879E-01 a       139     0     7     1    19
  2.5713776775342384E-01 a       140     0     7     1    20
  3.2896246525946038E-01 a       141     0     8     1     1
  1.1860736188678953E-01 a       142     0     8     1     2
  2.0569412562107983E-01 a       143     0     8     1     3
  8.2362548744525282E-02 a       144     0     8     1     4
  1.2379452828312668E-01 a       145     0     8     1     5
  1.8657770038872903E-01 a       146     0     8     1     6
  2.2144670177617892E-01 a       147     0     8     1     7
  1.2389104462001557E-01 a       148     0     8     1     8
 -4.0978943297166187E-01 a       149     0     8     1     9
  2.3500027680156479E-01 a       150     0     8     1    10
 -1.0521674646816220E-01 a       151     0     8     1    11
 -2.4443591564053344E-01 a       152     0     8     1    12
 -1.7319467662872204E-01 a       153     0     8     1    13
 -3.0181520831140068E-01 a       154     0     8     1    14
  2.1639458806533521E-01 a       155     0     8     1    15
  4.0342323387204178E-02 a       156     0     8     1    16
 -1.7431805556094102E-01 a       157     0     8     1    17
  1.8050295583431844E-01 a       158     0     8     1    18
  2.9401561978614849E-02 a       159     0     8     1    19
 -1.7558783161915228E-01 a       160     0     8     1    20
  1.7633511144977204E-01 a       161     0     9     1     1
 -1.3885137342222284E-01 a       162     0     9     1     2
  9.6166926971622421E-02 a       163     0     9     1     3
 -5.0910803476218847E-02 a       164     0     9     1     4
 -2.1042381017894848E-01 a       165     0     9     1     5
  1.5912946914997150E-01 a       166     0     9     1     6
 -1.7335750651386250E-01 a       167     0     9     1     7
  2.0740133470702973E-01 a       168     0     9     1     8
 -3.6541628372001272E-01 a       169     0     9     1     9
  1.7460624687045082E-01 a       170     0     9     1    10
  5.1405526694591241E-01 a       171     0     9     1    11
 -5.0267506486734982E-02 a       172     0     9     1    12
 -3.1585531047968973E-01 a       173     0     9     1    13
 -2.5487806920624395E-01 a       174     0     9     1    14
 -1.4717951537501605E-03 a       175     0     9     1    15
  5.7208805573814008E-03 a       176     0     9     1    16
  1.2998645081606111E-01 a       177     0     9     1    17
  2.9322020147017225E-01 a       178     0     9     1    18
 -2.2796458409184808E-01 a       179     0     9     1    19
  1.1298267071964045E-01 a       180     0     9     1    20
 -3.4718956084528496E-01 a       181     0    10     1     1
 -1.1074696056353042E-01 a       182     0    10     1     2
  3.8518795404791674E-02 a       183     0    10     1     3
 -2.8162103551546364E-01 a       184     0    10     1     4
  3.2852554612888885E-02 a       185     0    10     1     5
 -2.5521492752436503E-01 a       186     0    10     1     6
 -1.7463037989101987E-01 a       187     0    10     1     7
  1.5185755956374490E-03 a       188     0    10     1     8
  3.0872275682554712E-01 a       189     0    10     1     9
  1.0356485798581816E-01 a       190     0    10     1    10
 -1.6965234049054678E-01 a       191     0    10     1    11
 -2.1322533764493085E-01 a       192     0    10     1    12
  2.5063702694989010E-01 a       193     0    10     1    13
  2.0067013973774492E-01 a       194     0    10     1    14
 -3.0249331321945971E-01 a       195     0    10     1    15
 -1.3882507035261654E-01 a       196     0    10     1    16
  1.6738243938022043E-01 a       197     0    10     1    17
  4.4409705846022211E-02 a       198     0    10     1    18
 -6.8176273817767599E-02 a       199     0    10     1    19
  6.4856913465504762E-02 a       200     0    10     1    20
  1.2450714832370834E-02 a       201     0    11     1     1
 -6.0563725024607364E-02 a       202     0    11     1     2
 -2.8478255918547241E-01 a       203     0    11     1     3
  5.9467977645574127E-02 a       204     0    11     1     4
 -1.6411302170162428E-02 a       205     0    11     1     5
  4.2893594404700947E-02 a       206     0    11     1     6
  7.2641012294739446E-02 a       207     0    11     1     7
 -3.9534628940316002E-01 a       208     0    11     1     8
  3.0035064980010384E-01 a       209     0    11     1     9
 -2.6327504784459582E-01 a       210     0    11     1    10
 -2.6086718118388558E-01 a       211     0    11     1    11
  2.2873213590778285E-01 a       212     0    11     1    12
  1.9462972325214106E-01 a       213     0    11     1    13
  3.0813138229603784E-02 a       214     0    11     1    14
 -1.6319889139950133E-01 a       215     0    11     1    15
 -1.5576343113431873E-01 a       216     0    11     1    16
  3.2174351471679977E-02 a       217     0    11     1    17
 -2.5994338933257999E-01 a       218     0    11     1    18
  8.8204504331912709E-02 a       219     0    11     1    19
  1.6055064252693461E-02 a       220     0    11     1    20
  7.3048586991392370E-02 a       221     0    12     1     1
  3.2948389747922170E-02 a       222     0    12     1     2
 -1.9979038878143501E-01 a       223     0    12     1     3
 -6.2032121785002114E-02 a       224     0    12     1     4
 -2.6350279945009497E-01 a       225     0    12     1     5
 -1.0521339089448112E-01 a       226     0    12     1     6
 -7.1529601281391783E-02 a       227     0    12     1     7
  5.8544601351787948E-02 a       228     0    12     1     8
  1.7161170643400336E-02 a       229     0    12     1     9
  1.6479725749005078E-01 a       230     0    12     1    10
  1.1377642823019228E-01 a       231     0    12     1    11
  3.2379200807222541E-01 a       232     0    12     1    12
 -1.0921869238691281E-01 a       233     0    12     1    13
 -3.1308112588904174E-01 a       234     0    12     1    14
 -2.1605988144854993E-01 a       235     0    12     1    15
 -1.7384865704836450E-01 a       236     0    12     1    16
  1.7348368666737840E-01 a       237     0    12     1    17
  3.6359276336292140E-01 a       238     0    12     1    18
 -1.4643149962043522E-01 a       239     0    12     1    19
  6.2603685485049354E-02 a       240     0    12     1    20
 -5.2356909035502816E-02 a       241     0    13     1     1
  3.7340046912145403E-02 a       242     0    13     1     2
 -3.3912817945706158E-03 a       243     0    13     1     3
 -9.1756456619740218E-02 a       244     0    13     1     4
 -1.3927124663848084E-01 a       245     0    13     1     5
 -1.4222680802078663E-01 a       246     0    13     1     6
 -1.3670970526239509E-01 a       247     0    13     1     7
  5.0893680905090548E-02 a       248     0    13     1     8
 -2.1619041861956467E-01 a       249     0    13     1     9
 -2.1614530375707394E-01 a       250     0    13     1    10
 -7.3087143976426905E-02 a       251     0    13     1    11
  2.5019712960357304E-01 a       252     0    13     1    12
  1.8522815538927248E-01 a       253     0    13     1    13
  1.5813691679873204E-02 a       254     0    13     1    14
  2.2091388869425990E-01 a       255     0    13     1    15
  1.5847436267779375E-01 a       256     0    13     1    16
  8.8475216053162400E-02 a       257     0    13     1    17
 -2.9909100970300858E-02 a       258     0    13     1    18
 -2.9651921354033405E-02 a       259     0    13     1    19
  1.9649531804549730E-02 a       260     0    13     1    20
 -2.2350449152492718E-01 a       261     0    14     1     1
  1.3008565482952422E-01 a       262     0    14     1     2
  2.4452356660506963E-01 a       263     0    14     1     3
  2.1472074672333308E-01 a       264     0    14     1     4
  8.2783525263608396E-02 a       265     0    14     1     5
  2.5515608311652845E-02 a       266     0    14     1     6
 -9.3921686966561321E-02 a       267     0    14     1     7
  5.6505521124075114E-02 a       268     0    14     1     8
 -1.1450002060679880E-01 a       269     0    14     1     9
 -8.3833282936039741E-02 a       270     0    14     1    10
  3.9235002647096240E-01 a       271     0    14     1    11
 -3.2649242205948831E-01 a       272     0    14     1    12
 -1.1016537066580907E-01 a       273     0    14     1    13
  2.6515993686907829E-01 a       274     0    14     1    14
 -1.3989484062807286E-01 a       275     0    14     1    15
  3.0805950437204393E-02 a       276     0    14     1    16
 -2.6667687038249599E-01 a       277     0    14     1    17
 -7.9004714410833787E-02 a       278     0    14     1    18
 -1.0083771505335681E-01 a       279     0    14     1    19
 -2.4767826808786305E-02 a       280     0    14     1    20
  1.1668665206468007E-01 a       281     0    15     1     1
 -1.5067343548850393E-01 a       282     0    15     1     2
  1.9607066157289996E-01 a       283     0    15     1     3
  1.6712174549257020E-01 a       284     0    15     1     4
 -1.7229276571030988E-01 a       285     0    15     1     5
 -7.0809525262033324E-02 a       286     0    15     1     6
  3.4636847408804500E-01 a       287     0    15     1     7
 -1.4439914099332585E-01 a       288     0    15     1     8
  2.8436880398019976E-01 a       289     0    15     1     9
  2.8906362239352223E-02 a       290     0    15     1    10
  5.5225255622108574E-02 a       291     0    15     1    11
 -2.5843914387932909E-01 a       292     0    15     1    12
 -1.2732545316951741E-01 a       293     0    15     1    13
  4.8325009692260321E-02 a       294     0    15     1    14
 -2.4858809393301476E-01 a       295     0    15     1    15
 -1.9345653004459951E-01 a       296     0    15     1    16
 -2.2642976337487455E-01 a       297     0    15     1    17
  1.4460185095025535E-01 a       298     0    15     1    18
  3.3487527022490339E-02 a       299     0    15     1    19
 -1.0805202254877871E-01 a       300     0    15     1    20
  1.1742721402771809E-01 a       301     0    16     1     1
  3.3090735912185559E-02 a       302     0    16     1     2
 -2.9118461008375673E-01 a       303     0    16     1     3
 -2.6154162533746989E-01 a       304     0    16     1     4
  2.5115837958693649E-01 a       305     0    16     1     5
 -3.8029745924389222E-02 a       306     0    16     1     6
 -6.0523067512149989E-02 a       307     0    16     1     7
  4.5699241207546162E-02 a       308     0    16     1     8
  1.3250421757927783E-01 a       309     0    16     1     9
  2.5777753055925839E-01 a       310     0    16     1    10
 -3.2312361022885272E-01 a       311     0    16     1    11
  1.6030229528616988E-01 a       312     0    16     1    12
 -3.6729805182056825E-02 a       313     0    16     1    13
  7.9379341580709362E-02 a       314     0    16     1    14
  1.4526101897479488E-01 a       315     0    16     1    15
  5.1163417670722328E-02 a       316     0    16     1    16
  3.4185160985174179E-01 a       317     0    16     1    17
 -2.3864561188743139E-01 a       318     0    16     1    18
  2.3513519992941581E-01 a       319     0    16     1    19
  2.0016123785752404E-01 a       320     0    16     1    20
  2.1595130019051992E-01 a       321     0    17     1     1
  2.6072985623935679E-01 a       322     0    17     1     2
  2.1179152242432570E-01 a       323     0    17     1     3
 -1.5201810218150926E-02 a       324     0    17     1     4
 -1.2868619154720803E-01 a       325     0    17     1     5
  2.1387965742851778E-02 a       326     0    17     1     6
 -1.5206328904884989E-01 a       327     0    17     1     7
 -7.3627547203066218E-02 a       328     0    17     1     8
 -3.3980268438587180E-01 a       329     0    17     1     9
 -1.9885265785633383E-01 a       330     0    17     1    10
  1.0048985947380326E-01 a       331     0    17     1    11
 -1.2407344379878243E-01 a       332     0    17     1    12
  2.1849181029334636E-01 a       333     0    17     1    13
 -2.5861863641996702E-01 a       334     0    17     1    14
  2.1491499840794688E-02 a       335     0    17     1    15
  3.6199304734332027E-02 a       336     0    17     1    16
  4.5866393801122889E-02 a       337     0    17     1    17
 -6.5955678284848121E-02 a       338     0    17     1    18
 -2.6136275500118178E-01 a       339     0    17     1    19
 -9.4501335120246388E-02 a       340     0    17     1    20
 -2.3480913938567183E-01 a       341     0    18     1     1
  1.6552138792069482E-01 a       342     0    18     1     2
 -4.4113387362424185E-02 a       343     0    18     1     3
 -4.5183763432380529E-02 a       344     0    18     1     4
 -2.4020904129815890E-01 a       345     0    18     1     5
  9.4676372840634862E-02 a       346     0    18     1     6
  1.8154827999743575E-02 a       347     0    18     1     7
 -4.1333338056202262E-02 a       348     0    18     1     8
  1.5210900160406804E-01 a       349     0    18     1     9
 -1.6818424287754777E-01 a       350     0    18     1    10
  2.4795577348878762E-02 a       351     0    18     1    11
  1.3794032986567964E-01 a       352     0    18     1    12
  5.5551570945110380E-02 a       353     0    18     1    13
 -2.6340968075962196E-01 a       354     0    18     1    14
 -1.5504165870989237E-01 a       355     0    18     1    15
 -4.8201362628546934E-02 a       356     0    18     1    16
 -9.7383689263327522E-02 a       357     0    18     1    17
  1.0574158836726943E-01 a       358     0    18     1    18
 -1.7279527349431051E-01 a       359     0    18     1    19
 -3.0544755211125395E-02 a       360     0    18     1    20
  5.3257028146348140E-02 a       361     0    19     1     1
  1.9808873074336181E-01 a       362     0    19     1     2
 -8.3913426286162732E-02 a       363     0    19     1     3
  1.0049416234780578E-01 a       364     0    19     1     4
 -8.0317727486849150E-02 a       365     0    19     1     5
 -1.0945695405392078E-01 a       366     0    19     1     6
  3.0926085664115849E-01 a       367     0    19     1     7
  1.9093177238838171E-02 a       368     0    19     1     8
  1.8365235227380189E-01 a       369     0    19     1     9
  2.1806284494879594E-01 a       370     0    19     1    10
  1.2197228353905178E-01 a       371     0    19     1    11
  1.4973231598788431E-01 a       372     0    19     1    12
 -1.2764927907450507E-01 a       373     0    19     1    13
  2.0480516809461294E-01 a       374     0    19     1    14
  7.6461432801627455E-02 a       375     0    19     1    15
  9.0346763074190692E-02 a       376     0    19     1    16
 -8.0370353738196704E-02 a       377     0    19     1    17
 -2.6178114161652216E-01 a       378     0    19     1    18
  1.6225524882349637E-01 a       379     0    19     1    19
