################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7154628204848141E-01 a         1     0     1     1     1
  9.5333471490541666E-02 a         2     0     1     1     2
 -1.9771001751110556E-01 a         3     0     1     1     3
  3.4500912600545064E-01 a         4     0     1     1     4
 -5.4386751328224014E-01 a         5     0     1     1     5
 -3.8445356307786054E-02 a         6     0     1     1     6
 -1.3316052987603141E-01 a         7     0     1     1     7
 -4.3969766757725537E-01 a         8     0     1     1     8
 -4.1803510740070443E-01 a         9     0     1     1     9
 -2.5396803622522265E-02 a        10     0     1     1    10
  1.1556723190450926E-03 a        11     0     1     1    11
 -3.2740070525545489E-01 a        12     0     1     1    12
  1.6469345573935537E-01 a        13     0     1     1    13
  2.2087442260268897E-01 a        14     0     1     1    14
  1.1734410839956806E-02 a        15     0     1     1    15
 -3.1401878261783728E-01 a        16     0     1     1    16
  1.6775486913136961E-01 a        17     0     1     1    17
  1.6875578388865939E-01 a        18     0     1     1    18
  3.1906032568516252E-01 a        19     0     1     1    19
  1.1553374087695334E-01 a        20     0     1     1    20
  3.8068106525015444E-01 a        21     0     2     1     1
  2.7436929063139278E-03 a        22     0     2     1     2
 -1.0340360306800737E-01 a        23     0     2     1     3
  3.5961036409988939E-01 a        24     0     2     1     4
 -2.8188031020123872E-01 a        25     0     2     1     5
  7.2522269190738065E-02 a        26     0     2     1     6
 -3.6478280011325354E-01 a        27     0     2     1     7
  2.3851479235125203E-01 a        28     0     2     1     8
  4.7080521204990212E-02 a        29     0     2     1     9
  2.8986368726580203E-01 a        30     0     2     1    10
  3.4445756984770576E-01 a        31     0     2     1    11
 -9.1001860213607136E-02 a        32     0     2     1    12
  5.8796116974069126E-02 a        33     0     2     1    13
  4.5860233520946714E-01 a        34     0     2     1    14
 -2.6229764689037849E-01 a        35     0     2     1    15
 -1.7467470289860575E-02 a        36     0     2     1    16
 -1.8679570511834562E-01 a        37     0     2     1    17
 -1.9558738353424115E-01 a        38     0     2     1    18
 -1.3826248061577284E-01 a        39     0     2     1    19
 -2.3495878627081168E-01 a        40     0     2     1    20
  1.4704438379082752E-01 a        41     0     3     1     1
  3.1148836194064222E-01 a        42     0     3     1     2
 -2.7377471487731470E-01 a        43     0     3     1     3
  2.9303819950723664E-01 a        44     0     3     1     4
  3.3702093315056214E-01 a        45     0     3     1     5
 -1.2853919383964341E-01 a        46     0     3     1     6
 -2.5359954976326349E-01 a        47     0     3     1     7
 -3.0670931070803092E-01 a        48     0     3     1     8
  2.5389291812792136E-01 a        49     0     3     1     9
  3.8590984700150127E-01 a        50     0     3     1    10
 -4.0024968553506690E-01 a        51     0     3     1    11
 -6.4649325881976194E-02 a        52     0     3     1    12
 -2.0011221157215761E-01 a        53     0     3     1    13
  1.6693890360580024E-01 a        54     0     3     1    14
  1.7137244418637726E-01 a        55     0     3     1    15
 -2.9072447896158582E-01 a        56     0     3     1    16
  2.1474512162844495E-01 a        57     0     3     1    17
 -1.0684170692983148E-01 a        58     0     3     1    18
 -3.0008751153530061E-01 a        59     0     3     1    19
 -2.5300883922516615E-01 a        60     0     3     1    20
 -3.3476426055702613E-01 a        61     0     4     1     1
  3.2053995856725642E-01 a        62     0     4     1     2
 -3.6010354670403161E-01 a        63     0     4     1     3
 -1.6454070436497595E-01 a        64     0     4     1     4
 -2.2866672357746415E-01 a        65     0     4     1     5
