################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.9765144989893552E-02 a         1     0     1     1     1
  1.5248401652803970E-01 a         2     0     1     1     2
 -2.0563467054243528E-01 a         3     0     1     1     3
  1.3747681981233961E-01 a         4     0     1     1     4
  1.3857707249301557E-01 a         5     0     1     1     5
  1.3365709048110630E-01 a         6     0     1     1     6
  2.8549188698001549E-01 a         7     0     1     1     7
 -2.4077746941860870E-01 a         8     0     1     1     8
  1.0926018338992445E-01 a         9     0     1     1     9
 -3.0506889236244727E-01 a        10     0     1     1    10
 -4.3507516019902542E-01 a        11     0     1     1    11
  2.5678592315100168E-01 a        12     0     1     1    12
 -1.3691432136631845E-01 a        13     0     1     1    13
  2.1184523288718574E-01 a        14     0     1     1    14
 -5.6749145955696456E-01 a        15     0     1     1    15
 -2.3298481596708795E-01 a        16     0     1     1    16
 -2.8799996634693825E-01 a        17     0     1     1    17
 -7.3795084014050896E-02 a        18     0     1     1    18
 -1.3940568182113322E-01 a        19     0     1     1    19
  9.6760911390897653E-02 a        20     0     1     1    20
  1.5334007902640226E-01 a        21     0     2     1     1
  1.3679984991373412E-01 a        22     0     2     1     2
 -2.8050416808338513E-01 a        23     0     2     1     3
  2.3635906979078503E-01 a        24     0     2     1     4
 -2.2475644942073447E-01 a        25     0     2     1     5
 -1.9373693977846945E-01 a        26     0     2     1     6
  2.5130590770168010E-01 a        27     0     2     1     7
 -2.6420387328580686E-01 a        28     0     2     1     8
 -2.8239482770780366E-01 a        29     0     2     1     9
  3.2953647557212978E-01 a        30     0     2     1    10
 -2.7039207753435063E-02 a        31     0     2     1    11
  4.2651914255723844E-02 a        32     0     2     1    12
  1.5200508661310225E-01 a        33     0     2     1    13
 -3.6747923373538285E-02 a        34     0     2     1    14
  2.6387636108384249E-01 a        35     0     2     1    15
  2.6140010694538518E-01 a        36     0     2     1    16
  1.1009201979828281E-01 a        37     0     2     1    17
 -2.3870895766873093E-01 a        38     0     2     1    18
 -2.7972922547898649E-01 a        39     0     2     1    19
  1.9905960091959179E-01 a        40     0     2     1    20
 -2.6198915832523290E-01 a        41     0     3     1     1
  2.3625233665464848E-01 a        42     0     3     1     2
 -2.1527408751727081E-01 a        43     0     3     1     3
  2.8680608124939866E-01 a        44     0     3     1     4
  3.9925981171962699E-01 a        45     0     3     1     5
 -2.3788125627431428E-01 a        46     0     3     1     6
  6.1116856054689160E-02 a        47     0     3     1     7
  2.5235003738809608E-01 a        48     0     3     1     8
 -3.0514082794045683E-01 a        49     0     3     1     9
 -4.9213524354967697E-01 a        50     0     3     1    10
 -3.5944455379950713E-01 a        51     0     3     1    11
  1.6227515553328345E-01 a        52     0     3     1    12
  2.7087806560823302E-01 a        53     0     3     1    13
 -1.6766389821846542E-01 a        54     0     3     1    14
  5.1763520903665294E-01 a        55     0     3     1    15
 -1.3670160845846577E-01 a        56     0     3     1    16
  3.8652694722781766E-01 a        57     0     3     1    17
  1.6135968476455087E-01 a        58     0     3     1    18
 -4.5048853003629086E-01 a        59     0     3     1    19
  2.5152616003537581E-01 a        60     0     3     1    20
  2.6927893262714681E-01 a        61     0     4     1     1
 -1.7312595033108891E-01 a        62     0     4     1     2
  1.4042544612846417E-01 a        63     0     4     1     3
 -2.1454356478169062E-01 a        64     0     4     1     4
  3.5105443056667171E-02 a        65     0     4     1     5
  1.7173183918632945E-01 a        66     0     4     1     6
 -1.2409060470463422E-01 a        67     0     4     1     7
  1.0462876863729617E-01 a        68     0     4     1     8
 -2.4086748777247030E-01 a        69     0     4     1     9
 -2.1053011676302591E-01 a        70     0     4     1    10
  2.9228603783775790E-02 a        71     0     4     1    11
  5.7678497618991915E-02 a        72     0     4     1    12
  1.1349234449145611E-01 a        73     0     4     1    13
 -4.9662883921999235E-01 a        74     0     4     1    14
  2.2874389032736286E-01 a        75     0     4     1    15
  3.7095108693274859E-01 a        76     0     4     1    16
