################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         12   3.5099131687265644E-01   5.8036577608729645E-01   4.2348904823493649E-01   2.5048522467305403E-02
         2         13   6.6884329079375981E-01   9.7191813362337121E-01   8.2590544887576178E-01   3.5073589236964631E-02
         2         14   2.7497035074215026E-01   4.6062219433230778E-01   3.5280328395676402E-01   2.2589649231138351E-02
         2         15   4.1145707774914059E-01   5.7022434766360375E-01   4.9833313937798324E-01   2.0976185802006338E-02
         2         16   2.2736502883570459E-01   3.2561327879664065E-01   2.8397587069206481E-01   1.2546822253117863E-02
         2         17   1.7132485808989326E-01   2.3810852523286238E-01   2.0896506089433292E-01   8.5509460944044238E-03
         2         18   9.5699496759079627E-02   1.4228354840843446E-01   1.2324240096396856E-01   6.3059822056665748E-03
         2         19   4.1135404113775823E-02   6.2537363719746386E-02   5.2095336985031722E-02   2.4855048372187561E-03
         2         20   2.1471271459545669E-02   3.2509459044151680E-02   2.6879643425464603E-02   1.6579202575069890E-03
         2         21   6.8436451008129007E-02   1.2842182858896470E-01   9.7885109387178856E-02   8.2898809077456490E-03
         2         22   1.3027668244649869E-02   3.6640557253624181E-02   2.3342857756326857E-02   3.3591357503851356E-03
         2         23   3.9500104723498027E-04   2.1166562977254144E-03   1.0938384636309864E-03   2.5115490719956532E-04
         2         24   7.8270474541225640E-02   1.4907644390045829E-01   1.1039072541459573E-01   9.4700583295374771E-03
         2         25   6.3423792596624506E-02   1.3455260542909689E-01   9.9990073953792072E-02   1.0188376116411888E-02
         2         26   1.5805303290436588E-03   4.7591743273363964E-03   2.8436346543135962E-03   4.2172620032481715E-04
         2         27   1.6136475162478622E-02   3.8917368267610337E-02   2.7391671496582184E-02   2.9030666882230633E-03
         2         28   2.9889456901381886E-03   9.8603192747952449E-03   6.0465765223314157E-03   9.4265593067160459E-04
         2         29   4.9928995408118427E-05   5.0259322811035793E-04   2.0737453867591052E-04   6.0887845255120164E-05
         2         30   3.4421085647800734E-02   7.2251927146424727E-02   5.2181866762492375E-02   4.9577359744283527E-03
         2         31   5.3727852331332863E-02   1.1095861256799201E-01   8.3070568843736814E-02   8.0355245405971058E-03
         2         32   1.0084426283109977E-03   2.7344250121167507E-03   1.6974130468990693E-03   2.2603798590187271E-04
