################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2791149194125748E-01 a         1     0     1     1     1
  1.3055821145156782E-01 a         2     0     1     1     2
  2.9330191681956608E-01 a         3     0     1     1     3
 -1.2457961465913079E-02 a         4     0     1     1     4
  3.6329628559441279E-01 a         5     0     1     1     5
  3.6026446307182197E-01 a         6     0     1     1     6
  4.2140792131161348E-01 a         7     0     1     1     7
  5.3900388916407549E-01 a         8     0     1     1     8
  5.6126018036111856E-02 a         9     0     1     1     9
 -2.7007243533117392E-01 a        10     0     1     1    10
  1.7988638401721710E-01 a        11     0     1     1    11
 -1.4642561036954702E-01 a        12     0     1     1    12
  1.9404167556983937E-01 a        13     0     1     1    13
 -4.5471371916755593E-01 a        14     0     1     1    14
 -3.1131843707072109E-02 a        15     0     1     1    15
 -3.0404473968775009E-01 a        16     0     1     1    16
 -5.8103349625520676E-02 a        17     0     1     1    17
  3.3622608524727737E-01 a        18     0     1     1    18
  2.4085592004206466E-01 a        19     0     1     1    19
  1.5604269941387419E-01 a        20     0     1     1    20
 -7.1066309830835062E-02 a        21     0     2     1     1
  3.1196908387423355E-01 a        22     0     2     1     2
  2.6736605018618459E-01 a        23     0     2     1     3
 -2.0441278535275723E-01 a        24     0     2     1     4
  1.3466865852839982E-01 a        25     0     2     1     5
  1.3617773917258354E-02 a        26     0     2     1     6
  2.5604675594340914E-01 a        27     0     2     1     7
 -4.0412453972640872E-02 a        28     0     2     1     8
  3.4814967754372639E-01 a        29     0     2     1     9
  2.3719557979491432E-01 a        30     0     2     1    10
 -3.7901144544724258E-01 a        31     0     2     1    11
  5.3964198824868040E-02 a        32     0     2     1    12
 -3.8298406282803892E-02 a        33     0     2     1    13
  3.6340496808491918E-01 a        34     0     2     1    14
 -4.5567966726525549E-01 a        35     0     2     1    15
 -4.1307008879603158E-01 a        36     0     2     1    16
 -2.8676976138886051E-01 a        37     0     2     1    17
  1.5353882075734424E-01 a        38     0     2     1    18
  3.7574341257208588E-01 a        39     0     2     1    19
  2.0329876880432871E-01 a        40     0     2     1    20
  3.7286932490377220E-02 a        41     0     3     1     1
 -4.0880663346440294E-01 a        42     0     3     1     2
  1.1334408794923892E-01 a        43     0     3     1     3
  3.5526894301622525E-01 a        44     0     3     1     4
 -4.8243599644244767E-02 a        45     0     3     1     5
 -1.8572528719632889E-01 a        46     0     3     1     6
 -3.9315744838107097E-01 a        47     0     3     1     7
  2.0155687765717870E-01 a        48     0     3     1     8
  1.2865199721596957E-01 a        49     0     3     1     9
  3.1887255757899147E-01 a        50     0     3     1    10
  1.9432041329442309E-01 a        51     0     3     1    11
  2.0964703826421405E-02 a        52     0     3     1    12
 -1.8811819630183893E-01 a        53     0     3     1    13
 -3.2146756848582141E-02 a        54     0     3     1    14
  1.1068545283327146E-01 a        55     0     3     1    15
 -1.0552864026642113E-03 a        56     0     3     1    16
  3.4308385497672789E-01 a        57     0     3     1    17
  3.6814398977986701E-01 a        58     0     3     1    18
  7.9387148922876460E-02 a        59     0     3     1    19
 -3.1382052086859330E-01 a        60     0     3     1    20
 -1.8369179038397715E-01 a        61     0     4     1     1
  1.3353574118812228E-01 a        62     0     4     1     2
  1.9046485770533461E-01 a        63     0     4     1     3
  1.2290261137441585E-01 a        64     0     4     1     4
  2.3077389736237525E-01 a        65     0     4     1     5
  2.1476658176486954E-01 a        66     0     4     1     6
 -2.2415677563738529E-01 a        67     0     4     1     7
  1.3710208797951581E-01 a        68     0     4     1     8
  1.1078086358242032E-02 a        69     0     4     1     9
 -9.7135781123225753E-02 a        70     0     4     1    10
  2.4113096536624204E-01 a        71     0     4     1    11
  2.2323517610649443E-01 a        72     0     4     1    12
  2.1487601121615119E-01 a        73     0     4     1    13
 -4.0418158416144329E-01 a        74     0     4     1    14
  3.8188165905155208E-01 a        75     0     4     1    15
  1.6446734662435036E-01 a        76     0     4     1    16
  3.2724424711036698E-01 a        77     0     4     1    17
 -9.6728102777977765E-03 a        78     0     4     1    18
 -1.0614794145616363E-01 a        79     0     4     1    19
  6.7693523534254452E-02 a        80     0     4     1    20
  3.2233212346846056E-02 a        81     0     5     1     1
  1.3314080246798982E-01 a        82     0     5     1     2
  2.6417771383320360E-01 a        83     0     5     1     3
 -4.1317353587136746E-01 a        84     0     5     1     4
  2.3193870981355844E-01 a        85     0     5     1     5
  4.0031300086569721E-01 a        86     0     5     1     6
  7.5053762677166458E-02 a        87     0     5     1     7
 -2.2274628603342592E-02 a        88     0     5     1     8
  2.3282080385643021E-02 a        89     0     5     1     9
 -3.1122985772212797E-01 a        90     0     5     1    10
 -2.2101156406921740E-01 a        91     0     5     1    11
  3.8366421631152330E-02 a        92     0     5     1    12
  1.1095413880109573E-01 a        93     0     5     1    13
 -3.5448134068963710E-01 a        94     0     5     1    14
  7.1478345054662190E-02 a        95     0     5     1    15
 -1.6816976729512989E-01 a        96     0     5     1    16
  9.6972087425616138E-02 a        97     0     5     1    17
 -2.0737381484832984E-01 a        98     0     5     1    18
 -2.4204559684449720E-01 a        99     0     5     1    19
 -1.1943178351140056E-01 a       100     0     5     1    20
  3.0390720369036611E-01 a       101     0     6     1     1
 -9.6266699681470433E-02 a       102     0     6     1     2
  2.2353807346422921E-01 a       103     0     6     1     3
 -4.2475134419094179E-01 a       104     0     6     1     4
  2.4866253257782142E-01 a       105     0     6     1     5
 -9.3811947900996843E-03 a       106     0     6     1     6
 -6.9549566221312670E-02 a       107     0     6     1     7
  2.6367818233723828E-01 a       108     0     6     1     8
 -4.3076867897104049E-01 a       109     0     6     1     9
 -1.0821187422991912E-01 a       110     0     6     1    10
  1.3522425419789832E-01 a       111     0     6     1    11
 -4.5561120164385786E-02 a       112     0     6     1    12
  2.8418793292587741E-01 a       113     0     6     1    13
  1.7505111354029082E-01 a       114     0     6     1    14
 -3.4721760265454493E-01 a       115     0     6     1    15
 -2.6051660020571105E-01 a       116     0     6     1    16
  3.2119222577619311E-01 a       117     0     6     1    17
  1.9666765457306473E-01 a       118     0     6     1    18
 -5.2292052601548539E-02 a       119     0     6     1    19
  1.3105282894070042E-01 a       120     0     6     1    20
  5.8467157443820956E-03 a       121     0     7     1     1
 -1.5865455251069827E-01 a       122     0     7     1     2
  3.0165088920620764E-01 a       123     0     7     1     3
  3.1160980652816039E-01 a       124     0     7     1     4
  1.5486469780881240E-01 a       125     0     7     1     5
  9.0601550836716296E-02 a       126     0     7     1     6
  2.8661447029899140E-01 a       127     0     7     1     7
  3.6516604191064872E-01 a       128     0     7     1     8
 -1.3810170064179193E-02 a       129     0     7     1     9
 -1.8851621184798412E-01 a       130     0     7     1    10
  3.6553939353045845E-01 a       131     0     7     1    11
 -3.2511728801451745E-01 a       132     0     7     1    12
 -4.1972092922120063E-02 a       133     0     7     1    13
  2.5405378031245368E-01 a       134     0     7     1    14
