################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0221802349960070E-01 a         1     0     1     1     1
 -9.9344608935368769E-02 a         2     0     1     1     2
 -3.8138438866591455E-02 a         3     0     1     1     3
 -2.3563999580212069E-01 a         4     0     1     1     4
 -1.0504158324814857E-01 a         5     0     1     1     5
  2.1888558379919490E-01 a         6     0     1     1     6
  3.0201618279536938E-02 a         7     0     1     1     7
 -2.9264156453341178E-01 a         8     0     1     1     8
 -2.9325028273605691E-01 a         9     0     1     1     9
 -8.9046350087002457E-02 a        10     0     1     1    10
 -2.1048258918079227E-01 a        11     0     1     1    11
  2.7563224787139318E-01 a        12     0     1     1    12
  2.2782478284321867E-01 a        13     0     1     1    13
 -4.7223697375574142E-01 a        14     0     1     1    14
  2.4985032225744860E-01 a        15     0     1     1    15
 -1.2283842670701232E-01 a        16     0     1     1    16
 -3.3031863508275822E-01 a        17     0     1     1    17
 -1.2547806670461403E-01 a        18     0     1     1    18
 -2.9938225915723188E-01 a        19     0     1     1    19
 -2.6396595906012510E-01 a        20     0     1     1    20
 -5.4709623342527836E-01 a        21     0     2     1     1
  3.4329237404504465E-01 a        22     0     2     1     2
  1.4484870927782723E-01 a        23     0     2     1     3
 -9.6166384548391645E-02 a        24     0     2     1     4
 -2.5743547364084077E-02 a        25     0     2     1     5
  3.6121246428292764E-01 a        26     0     2     1     6
  4.0311075283589570E-01 a        27     0     2     1     7
 -1.8558840690337450E-02 a        28     0     2     1     8
 -5.2754073489753174E-02 a        29     0     2     1     9
 -4.2192857245906940E-01 a        30     0     2     1    10
 -4.9081334421434884E-02 a        31     0     2     1    11
  1.2406437037748426E-01 a        32     0     2     1    12
 -5.4943684582965620E-02 a        33     0     2     1    13
  1.0661163854479090E-01 a        34     0     2     1    14
 -1.4777704987862600E-01 a        35     0     2     1    15
 -9.1442689702359400E-02 a        36     0     2     1    16
  3.1293604784812024E-01 a        37     0     2     1    17
 -9.4998379120905974E-02 a        38     0     2     1    18
  1.4336016116565028E-02 a        39     0     2     1    19
  2.6005448590129217E-02 a        40     0     2     1    20
 -4.9774978430952792E-02 a        41     0     3     1     1
  4.8353441187502080E-02 a        42     0     3     1     2
  1.4117003310516768E-01 a        43     0     3     1     3
 -1.3086162813042049E-01 a        44     0     3     1     4
 -5.8062050285292623E-03 a        45     0     3     1     5
 -3.0765705136496402E-01 a        46     0     3     1     6
 -2.6290200005983233E-01 a        47     0     3     1     7
 -1.9085318134591461E-01 a        48     0     3     1     8
  1.5121589587881862E-01 a        49     0     3     1     9
 -1.7683089692771378E-01 a        50     0     3     1    10
 -1.7092087771273165E-01 a        51     0     3     1    11
  1.8296102864706462E-01 a        52     0     3     1    12
 -2.9331748393037438E-01 a        53     0     3     1    13
  1.5694832339447656E-01 a        54     0     3     1    14
  2.6241040664616527E-01 a        55     0     3     1    15
 -3.8838653362402394E-02 a        56     0     3     1    16
  2.1063127301236270E-01 a        57     0     3     1    17
  1.6783749670304748E-01 a        58     0     3     1    18
  2.9161460997866218E-01 a        59     0     3     1    19
  1.1980872786314804E-01 a        60     0     3     1    20
  2.7805601242810229E-01 a        61     0     4     1     1
 -2.9182992585233347E-01 a        62     0     4     1     2
  1.9403385655949612E-01 a        63     0     4     1     3
 -2.0030916289002679E-01 a        64     0     4     1     4
  1.4577307219669317E-01 a        65     0     4     1     5
 -5.1058613205557137E-02 a        66     0     4     1     6
 -2.3508818919358682E-01 a        67     0     4     1     7
  1.6374157190434828E-02 a        68     0     4     1     8
 -2.8430150958672978E-01 a        69     0     4     1     9
 -1.1795793205240573E-01 a        70     0     4     1    10
 -1.5682300165579333E-01 a        71     0     4     1    11
 -8.8910713464806571E-02 a        72     0     4     1    12
 -3.4822896989390639E-01 a        73     0     4     1    13
  3.0171140876632779E-01 a        74     0     4     1    14
  3.2163667823644604E-01 a        75     0     4     1    15
 -3.9864445280166055E-01 a        76     0     4     1    16
 -3.2523278287570084E-01 a        77     0     4     1    17
 -7.1980067927866834E-02 a        78     0     4     1    18
  7.9388605421440259E-02 a        79     0     4     1    19
  1.6773054563622707E-02 a        80     0     4     1    20
  1.9898510528439409E-01 a        81     0     5     1     1
  5.2608996266118153E-02 a        82     0     5     1     2
 -1.7291613388160038E-01 a        83     0     5     1     3
 -1.1148364034636052E-01 a        84     0     5     1     4
  8.1257510191077187E-02 a        85     0     5     1     5
  1.4322669195083967E-01 a        86     0     5     1     6
  4.7106077495339828E-02 a        87     0     5     1     7
 -1.0945055420474409E-01 a        88     0     5     1     8
 -4.1083962342932490E-01 a        89     0     5     1     9
  3.8834280918800340E-01 a        90     0     5     1    10
  9.3229592254772231E-02 a        91     0     5     1    11
 -5.0293638522492801E-03 a        92     0     5     1    12
  3.3540039640414154E-01 a        93     0     5     1    13
 -9.9993082051289248E-02 a        94     0     5     1    14
 -1.3417116935751378E-01 a        95     0     5     1    15
 -3.4123496426373717E-01 a        96     0     5     1    16
 -2.5986950606699094E-01 a        97     0     5     1    17
  1.4099224231380822E-01 a        98     0     5     1    18
  5.6198702949627838E-02 a        99     0     5     1    19
  1.0093556828542426E-02 a       100     0     5     1    20
 -4.8471002409350783E-01 a       101     0     6     1     1
  8.6882138578869103E-02 a       102     0     6     1     2
  1.5526858177624348E-01 a       103     0     6     1     3
  2.4915185766048545E-01 a       104     0     6     1     4
 -2.8216576486956474E-01 a       105     0     6     1     5
